Banco;Sociedad;Fecha Documento;CIF;Proveedor;Nº Factura;Importe;F. Anticipo;F. Vencimiento;Días;% Interés;% Comisión;Total Comisión;Total Interés;% Reparto;Comisión Prisma;Interés Prisma;Calculo com Prisma;Calculo int prisma;Total diferencia
Diamante;Verde;03/01/2026;A02630991;Bauxitas Ferruginosos S.A.;3572915;2287,56;03/12/2025;01/02/2026;60;4,34;1,42;32,48;16,55;70,0;22,6;11,79;=G154*(L154/100)*(O154/100);=G154*(K154/360/100)*J154*(O154/100);=P154-R154+Q154-S154
Diamante;Verde;03/01/2026;A02630991;Bauxitas Ferruginosos S.A.;3181202;817,48;04/12/2025;28/02/2026;86;3,53;0,86;7,03;6,89;70,0;4,74;4,59;=G155*(L155/100)*(O155/100);=G155*(K155/360/100)*J155*(O155/100);=P155-R155+Q155-S155
Diamante;Verde;03/01/2026;B13637077;Tractores Consolidados S.L.;4347607;8069,21;13/12/2025;07/03/2026;84;6,37;1,26;101,67;119,94;40,0;40,9;48,08;=G156*(L156/100)*(O156/100);=G156*(K156/360/100)*J156*(O156/100);=P156-R156+Q156-S156
Diamante;Verde;03/01/2026;B13637077;Tractores Consolidados S.L.;3336729;865,69;01/12/2025;05/02/2026;66;3,65;1,17;10,13;5,79;50,0;5,0;3,03;=G157*(L157/100)*(O157/100);=G157*(K157/360/100)*J157*(O157/100);=P157-R157+Q157-S157
Diamante;Verde;03/01/2026;B87003538;Bombeos Internacionales S.L.;1237885;7984,18;14/12/2025;14/03/2026;90;6,39;1,4;111,78;127,55;20,0;22,6;25,68;=G158*(L158/100)*(O158/100);=G158*(K158/360/100)*J158*(O158/100);=P158-R158+Q158-S158
Diamante;Verde;03/01/2026;B87003538;Bombeos Internacionales S.L.;3975491;190,45;27/12/2025;09/02/2026;44;3,82;1,6;3,05;0,89;40,0;1,4;0,41;=G159*(L159/100)*(O159/100);=G159*(K159/360/100)*J159*(O159/100);=P159-R159+Q159-S159
Diamante;Verde;03/01/2026;A30022707;Datos Trazables S.A.;1546650;440,42;01/12/2025;18/02/2026;79;6,02;1,58;6,96;5,82;50,0;3,5;3,17;=G160*(L160/100)*(O160/100);=G160*(K160/360/100)*J160*(O160/100);=P160-R160+Q160-S160
Diamante;Verde;03/01/2026;A30022707;Datos Trazables S.A.;4909678;885,58;16/12/2025;22/02/2026;68;6,2;1,13;10,01;10,37;50,0;4,8;5,31;=G161*(L161/100)*(O161/100);=G161*(K161/360/100)*J161*(O161/100);=P161-R161+Q161-S161
Diamante;Verde;03/01/2026;A30022707;Datos Trazables S.A.;2145907;305,38;22/12/2025;05/03/2026;73;5,52;1,59;4,86;3,42;70,0;3,33;2,2;=G162*(L162/100)*(O162/100);=G162*(K162/360/100)*J162*(O162/100);=P162-R162+Q162-S162
Diamante;Verde;03/01/2026;A44787057;Fermentos Isotérmicos S.A.;3924733;9076,2;21/12/2025;13/02/2026;54;3,87;1,37;124,34;52,69;30,0;37,27;15,97;=G163*(L163/100)*(O163/100);=G163*(K163/360/100)*J163*(O163/100);=P163-R163+Q163-S163
Diamante;Verde;03/01/2026;A44787057;Fermentos Isotérmicos S.A.;3217589;116,07;15/12/2025;31/01/2026;47;3,82;1,03;1,2;0,58;30,0;0,4;0,38;=G164*(L164/100)*(O164/100);=G164*(K164/360/100)*J164*(O164/100);=P164-R164+Q164-S164
Diamante;Verde;03/01/2026;A44787057;Fermentos Isotérmicos S.A.;4882482;622,83;07/12/2025;07/03/2026;90;3,72;0,98;6,1;5,79;50,0;2,91;2,78;=G165*(L165/100)*(O165/100);=G165*(K165/360/100)*J165*(O165/100);=P165-R165+Q165-S165
Diamante;Verde;03/01/2026;A30503948;Sustratos Históricos S.A.;2664310;754,36;02/12/2025;15/01/2026;44;5,61;1,97;14,86;5,17;40,0;5,67;1,82;=G166*(L166/100)*(O166/100);=G166*(K166/360/100)*J166*(O166/100);=P166-R166+Q166-S166
Diamante;Verde;03/01/2026;A30503948;Sustratos Históricos S.A.;4581883;589,81;14/12/2025;27/01/2026;44;5,88;1,15;6,78;4,24;40,0;2,87;1,5;=G167*(L167/100)*(O167/100);=G167*(K167/360/100)*J167*(O167/100);=P167-R167+Q167-S167
Diamante;Verde;03/01/2026;A66669010;Adhesivos Modernos S.A.;1886028;630,81;16/12/2025;06/03/2026;80;5,3;1,54;9,71;7,43;50,0;4,6;3,57;=G168*(L168/100)*(O168/100);=G168*(K168/360/100)*J168*(O168/100);=P168-R168+Q168-S168
Diamante;Verde;03/01/2026;A66669010;Adhesivos Modernos S.A.;2100262;599,25;13/12/2025;18/02/2026;67;5,32;1,53;9,17;5,93;50,0;4,57;2,9;=G169*(L169/100)*(O169/100);=G169*(K169/360/100)*J169*(O169/100);=P169-R169+Q169-S169
Diamante;Verde;03/01/2026;A66669010;Adhesivos Modernos S.A.;1234241;824,79;02/12/2025;13/02/2026;73;4,18;1,19;9,82;6,99;50,0;5,06;3,2;=G170*(L170/100)*(O170/100);=G170*(K170/360/100)*J170*(O170/100);=P170-R170+Q170-S170
Diamante;Verde;03/01/2026;A28635458;Datos Cantábricos S.A.;4088098;845,3;12/12/2025;14/02/2026;64;4,18;0,97;8,2;6,28;20,0;1,9;1,29;=G171*(L171/100)*(O171/100);=G171*(K171/360/100)*J171*(O171/100);=P171-R171+Q171-S171
Diamante;Verde;03/01/2026;A28635458;Datos Cantábricos S.A.;3200404;7662,07;01/12/2025;17/01/2026;47;4,47;0,63;48,27;44,71;20,0;9,83;8,71;=G172*(L172/100)*(O172/100);=G172*(K172/360/100)*J172*(O172/100);=P172-R172+Q172-S172
Diamante;Verde;03/01/2026;A28635458;Datos Cantábricos S.A.;3556613;693,56;23/12/2025;14/02/2026;53;4,75;0,8;5,55;4,85;40,0;2,16;2,24;=G173*(L173/100)*(O173/100);=G173*(K173/360/100)*J173*(O173/100);=P173-R173+Q173-S173
Diamante;Verde;03/01/2026;A27993724;Maderas Refractarios S.A.;2456868;812,33;13/12/2025;03/03/2026;80;5,14;1,43;11,62;9,28;70,0;8,35;6,79;=G174*(L174/100)*(O174/100);=G174*(K174/360/100)*J174*(O174/100);=P174-R174+Q174-S174
Diamante;Verde;03/01/2026;A27993724;Maderas Refractarios S.A.;2629619;101,75;23/12/2025;23/01/2026;31;4,62;1,38;1,4;0,4;40,0;0,47;0,25;=G175*(L175/100)*(O175/100);=G175*(K175/360/100)*J175*(O175/100);=P175-R175+Q175-S175
Diamante;Verde;03/01/2026;B70768732;Inductores Modulares S.L.;1679915;1149,19;02/12/2025;12/01/2026;41;6,36;0,5;5,75;8,32;70,0;3,93;5,92;=G176*(L176/100)*(O176/100);=G176*(K176/360/100)*J176*(O176/100);=P176-R176+Q176-S176
Diamante;Verde;03/01/2026;B70768732;Inductores Modulares S.L.;4135903;578,29;22/12/2025;12/03/2026;80;5,02;1,87;10,81;6,45;40,0;4,03;2,67;=G177*(L177/100)*(O177/100);=G177*(K177/360/100)*J177*(O177/100);=P177-R177+Q177-S177
Diamante;Verde;03/01/2026;B86167212;Válvulas Tradicionales S.L.;2986638;7173,36;19/12/2025;25/01/2026;37;6,29;1,26;90,38;46,37;50,0;44,97;23,41;=G178*(L178/100)*(O178/100);=G178*(K178/360/100)*J178*(O178/100);=P178-R178+Q178-S178
Diamante;Verde;03/01/2026;B86167212;Válvulas Tradicionales S.L.;2202128;996,29;05/12/2025;05/02/2026;62;6,23;0,97;9,66;10,69;30,0;3,0;3,42;=G179*(L179/100)*(O179/100);=G179*(K179/360/100)*J179*(O179/100);=P179-R179+Q179-S179
Diamante;Verde;03/01/2026;B86167212;Válvulas Tradicionales S.L.;2375741;179,0;14/12/2025;13/03/2026;89;6,5;1,29;2,31;2,88;40,0;0,8;1,25;=G180*(L180/100)*(O180/100);=G180*(K180/360/100)*J180*(O180/100);=P180-R180+Q180-S180
Diamante;Verde;03/01/2026;A34982925;Precursores Preparados S.A.;2731851;7121,18;27/12/2025;24/03/2026;87;3,78;1,33;94,71;65,05;30,0;28,25;19,82;=G181*(L181/100)*(O181/100);=G181*(K181/360/100)*J181*(O181/100);=P181-R181+Q181-S181
Diamante;Verde;03/01/2026;A34982925;Precursores Preparados S.A.;2085365;9470,09;12/12/2025;11/01/2026;30;5,72;0,84;79,55;45,14;60,0;47,64;27,03;=G182*(L182/100)*(O182/100);=G182*(K182/360/100)*J182*(O182/100);=P182-R182+Q182-S182
Diamante;Verde;03/01/2026;A00909400;Auditorías Criogénicos S.A.;1384755;2202,43;20/12/2025;26/01/2026;37;5,42;0,55;12,11;12,27;60,0;7,55;7,15;=G183*(L183/100)*(O183/100);=G183*(K183/360/100)*J183*(O183/100);=P183-R183+Q183-S183
Diamante;Verde;03/01/2026;A00909400;Auditorías Criogénicos S.A.;3319456;881,36;22/12/2025;03/02/2026;43;3,92;1,44;12,69;4,13;30,0;3,74;0,94;=G184*(L184/100)*(O184/100);=G184*(K184/360/100)*J184*(O184/100);=P184-R184+Q184-S184
Diamante;Verde;03/01/2026;A00909400;Auditorías Criogénicos S.A.;1676429;8077,63;18/12/2025;14/02/2026;58;5,1;0,81;65,43;66,37;60,0;39,52;39,65;=G185*(L185/100)*(O185/100);=G185*(K185/360/100)*J185*(O185/100);=P185-R185+Q185-S185
Diamante;Verde;03/01/2026;A89085019;Silicatos Articulados S.A.;1939227;7446,81;23/12/2025;23/02/2026;62;4,92;1,12;83,4;63,1;50,0;41,83;31,76;=G186*(L186/100)*(O186/100);=G186*(K186/360/100)*J186*(O186/100);=P186-R186+Q186-S186
Diamante;Verde;03/01/2026;A89085019;Silicatos Articulados S.A.;4237352;205,35;07/12/2025;02/03/2026;85;4,84;1,73;3,55;2,35;50,0;1,65;1,39;=G187*(L187/100)*(O187/100);=G187*(K187/360/100)*J187*(O187/100);=P187-R187+Q187-S187
Diamante;Verde;03/01/2026;B89119834;Tubulares Racionales S.L.;1608697;373,84;20/12/2025;23/02/2026;65;5,97;0,88;3,29;4,03;60,0;2,21;2,22;=G188*(L188/100)*(O188/100);=G188*(K188/360/100)*J188*(O188/100);=P188-R188+Q188-S188
Diamante;Verde;03/01/2026;B89119834;Tubulares Racionales S.L.;1889549;878,92;20/12/2025;19/03/2026;89;4,42;1,37;12,04;9,6;50,0;5,87;4,95;=G189*(L189/100)*(O189/100);=G189*(K189/360/100)*J189*(O189/100);=P189-R189+Q189-S189
Diamante;Verde;03/01/2026;B89119834;Tubulares Racionales S.L.;2961288;753,86;26/12/2025;08/03/2026;72;4,33;1,49;11,23;6,53;40,0;4,48;2,7;=G190*(L190/100)*(O190/100);=G190*(K190/360/100)*J190*(O190/100);=P190-R190+Q190-S190
Diamante;Verde;03/01/2026;A21415852;Envases Refractarios S.A.;4616878;227,36;28/12/2025;21/02/2026;55;4,54;1,23;2,8;1,58;50,0;1,31;0,56;=G191*(L191/100)*(O191/100);=G191*(K191/360/100)*J191*(O191/100);=P191-R191+Q191-S191
Diamante;Verde;03/01/2026;A21415852;Envases Refractarios S.A.;4466692;765,42;07/12/2025;21/01/2026;45;3,55;0,69;5,28;3,4;50,0;2,8;1,63;=G192*(L192/100)*(O192/100);=G192*(K192/360/100)*J192*(O192/100);=P192-R192+Q192-S192
Diamante;Verde;03/01/2026;A21415852;Envases Refractarios S.A.;2293167;4229,33;03/12/2025;24/02/2026;83;5,73;1,65;69,78;55,87;20,0;13,89;10,9;=G193*(L193/100)*(O193/100);=G193*(K193/360/100)*J193*(O193/100);=P193-R193+Q193-S193
Diamante;Verde;03/01/2026;B38381423;Aceros Procesados S.L.;3482575;630,97;20/12/2025;03/03/2026;73;4,54;1,17;7,38;5,81;20,0;1,2;1,44;=G194*(L194/100)*(O194/100);=G194*(K194/360/100)*J194*(O194/100);=P194-R194+Q194-S194
Diamante;Verde;03/01/2026;B38381423;Aceros Procesados S.L.;3576952;2944,25;03/12/2025;02/03/2026;89;5,18;0,69;20,32;37,7;30,0;6,39;11,37;=G195*(L195/100)*(O195/100);=G195*(K195/360/100)*J195*(O195/100);=P195-R195+Q195-S195
Diamante;Verde;03/01/2026;B53150081;Hidráulicos Certificables S.L.;2265252;4802,05;06/12/2025;18/02/2026;74;4,74;1,86;89,32;46,79;50,0;44,6;23,15;=G196*(L196/100)*(O196/100);=G196*(K196/360/100)*J196*(O196/100);=P196-R196+Q196-S196
Diamante;Verde;03/01/2026;B53150081;Hidráulicos Certificables S.L.;1736316;2254,16;22/12/2025;01/02/2026;41;4,16;1,83;41,25;10,68;30,0;12,13;3,48;=G197*(L197/100)*(O197/100);=G197*(K197/360/100)*J197*(O197/100);=P197-R197+Q197-S197
Diamante;Verde;03/01/2026;A37058389;Áridos Ibéricos S.A.;1059168;363,25;09/12/2025;24/01/2026;46;5,91;1,58;5,74;2,74;60,0;3,7;1,7;=G198*(L198/100)*(O198/100);=G198*(K198/360/100)*J198*(O198/100);=P198-R198+Q198-S198
Diamante;Verde;03/01/2026;A37058389;Áridos Ibéricos S.A.;2530789;507,18;10/12/2025;26/02/2026;78;5,21;1,24;6,29;5,73;40,0;2,39;2,37;=G199*(L199/100)*(O199/100);=G199*(K199/360/100)*J199*(O199/100);=P199-R199+Q199-S199
Diamante;Verde;03/01/2026;A37058389;Áridos Ibéricos S.A.;3689770;7242,68;06/12/2025;18/02/2026;74;5,54;0,77;55,77;82,48;50,0;27,98;40,94;=G200*(L200/100)*(O200/100);=G200*(K200/360/100)*J200*(O200/100);=P200-R200+Q200-S200
Diamante;Verde;03/01/2026;A61276657;Mármoles Uniformes S.A.;3710495;377,79;18/12/2025;13/03/2026;85;4,54;0,67;2,53;4,05;50,0;1,54;1,83;=G201*(L201/100)*(O201/100);=G201*(K201/360/100)*J201*(O201/100);=P201-R201+Q201-S201
Diamante;Verde;03/01/2026;A61276657;Mármoles Uniformes S.A.;1536320;4558,65;03/12/2025;20/01/2026;48;3,66;1,1;50,15;22,25;40,0;19,95;9,14;=G202*(L202/100)*(O202/100);=G202*(K202/360/100)*J202*(O202/100);=P202-R202+Q202-S202
Diamante;Verde;03/01/2026;A61276657;Mármoles Uniformes S.A.;4478661;4338,21;25/12/2025;06/02/2026;43;4,76;0,62;26,9;24,67;50,0;13,59;12,47;=G203*(L203/100)*(O203/100);=G203*(K203/360/100)*J203*(O203/100);=P203-R203+Q203-S203
Diamante;Verde;03/01/2026;A22952057;Herbicidas Seguros S.A.;4495904;137,27;08/12/2025;08/01/2026;31;5,26;1,5;2,06;0,62;70,0;1,34;0,37;=G204*(L204/100)*(O204/100);=G204*(K204/360/100)*J204*(O204/100);=P204-R204+Q204-S204
Diamante;Verde;03/01/2026;A22952057;Herbicidas Seguros S.A.;2930578;224,56;04/12/2025;09/02/2026;67;5,97;1,21;2,72;2,5;70,0;1,89;1,77;=G205*(L205/100)*(O205/100);=G205*(K205/360/100)*J205*(O205/100);=P205-R205+Q205-S205
Diamante;Verde;03/01/2026;B67884399;Metales Laminados S.L.;4519967;3927,37;12/12/2025;14/02/2026;64;4,01;1,06;41,63;28,0;40,0;16,37;11,24;=G206*(L206/100)*(O206/100);=G206*(K206/360/100)*J206*(O206/100);=P206-R206+Q206-S206
Diamante;Verde;03/01/2026;B67884399;Metales Laminados S.L.;1836525;6380,31;26/12/2025;19/03/2026;83;4,1;0,59;37,64;60,31;20,0;7,38;11,78;=G207*(L207/100)*(O207/100);=G207*(K207/360/100)*J207*(O207/100);=P207-R207+Q207-S207
Diamante;Verde;03/01/2026;A74987919;Biocidas Magnéticos S.A.;4239044;323,42;12/12/2025;27/02/2026;77;5,28;0,78;2,52;3,65;50,0;1,11;2,01;=G208*(L208/100)*(O208/100);=G208*(K208/360/100)*J208*(O208/100);=P208-R208+Q208-S208
Diamante;Verde;03/01/2026;A74987919;Biocidas Magnéticos S.A.;1736824;767,47;10/12/2025;10/02/2026;62;4,65;1,27;9,75;6,15;50,0;5,01;3,13;=G209*(L209/100)*(O209/100);=G209*(K209/360/100)*J209*(O209/100);=P209-R209+Q209-S209
Diamante;Verde;03/01/2026;A74987919;Biocidas Magnéticos S.A.;1836471;915,93;12/12/2025;04/03/2026;82;4,52;1,04;9,53;9,43;30,0;2,59;2,7;=G210*(L210/100)*(O210/100);=G210*(K210/360/100)*J210*(O210/100);=P210-R210+Q210-S210
Diamante;Verde;03/01/2026;A46655315;Hilaturas Miniaturizados S.A.;2310111;982,14;02/12/2025;09/01/2026;38;5,47;1,26;12,37;5,67;70,0;8,85;4,1;=G211*(L211/100)*(O211/100);=G211*(K211/360/100)*J211*(O211/100);=P211-R211+Q211-S211
Diamante;Verde;03/01/2026;A46655315;Hilaturas Miniaturizados S.A.;1318701;2500,15;22/12/2025;22/02/2026;62;4,81;1,01;25,25;20,71;40,0;9,99;8,33;=G212*(L212/100)*(O212/100);=G212*(K212/360/100)*J212*(O212/100);=P212-R212+Q212-S212
Diamante;Verde;03/01/2026;A46655315;Hilaturas Miniaturizados S.A.;2845047;562,67;21/12/2025;07/03/2026;76;5,22;0,66;3,71;6,2;70,0;2,42;4,41;=G213*(L213/100)*(O213/100);=G213*(K213/360/100)*J213*(O213/100);=P213-R213+Q213-S213
Diamante;Verde;03/01/2026;A33953201;Contenedores Termofusibles S.A.;4421214;2939,81;15/12/2025;10/02/2026;57;5,75;1,92;56,44;26,76;60,0;33,64;15,84;=G214*(L214/100)*(O214/100);=G214*(K214/360/100)*J214*(O214/100);=P214-R214+Q214-S214
Diamante;Verde;03/01/2026;A33953201;Contenedores Termofusibles S.A.;1726518;289,27;03/12/2025;27/01/2026;55;3,85;1,28;3,7;1,7;50,0;1,62;1,0;=G215*(L215/100)*(O215/100);=G215*(K215/360/100)*J215*(O215/100);=P215-R215+Q215-S215
Diamante;Verde;03/01/2026;A33953201;Contenedores Termofusibles S.A.;4351678;366,98;16/12/2025;08/03/2026;82;3,9;1,56;5,72;3,26;40,0;2,41;1,2;=G216*(L216/100)*(O216/100);=G216*(K216/360/100)*J216*(O216/100);=P216-R216+Q216-S216
Diamante;Verde;03/01/2026;A71535854;Relés Presurizados S.A.;3088693;6468,18;07/12/2025;26/01/2026;50;5,04;1,15;74,38;45,28;30,0;22,4;13,8;=G217*(L217/100)*(O217/100);=G217*(K217/360/100)*J217*(O217/100);=P217-R217+Q217-S217
Diamante;Verde;03/01/2026;A71535854;Relés Presurizados S.A.;1037322;439,2;28/12/2025;15/03/2026;77;3,8;1,42;6,24;3,57;50,0;3,04;1,57;=G218*(L218/100)*(O218/100);=G218*(K218/360/100)*J218*(O218/100);=P218-R218+Q218-S218
Diamante;Verde;03/01/2026;A71535854;Relés Presurizados S.A.;3908264;819,9;04/12/2025;18/01/2026;45;6,2;1,05;8,61;6,35;20,0;1,57;1,37;=G219*(L219/100)*(O219/100);=G219*(K219/360/100)*J219*(O219/100);=P219-R219+Q219-S219
Plata;Verde;07/01/2026;A12373125;Tejas Competitivos S.A.;2561814;970,81;14/12/2025;28/02/2026;19;4,73;1,15;11,16;2,42;40,0;4,4;1,09;=G2*(L2/100)*(O2/100);=G2*(K2/360/100)*J2*(O2/100);=P2-R2+Q2-S2
Plata;Verde;07/01/2026;A12373125;Tejas Competitivos S.A.;2650120;176,82;15/12/2025;27/02/2026;41;2,04;1,13;2,0;0,41;50,0;1,09;0,27;=G3*(L3/100)*(O3/100);=G3*(K3/360/100)*J3*(O3/100);=P3-R3+Q3-S3
Plata;Verde;07/01/2026;A12373125;Tejas Competitivos S.A.;2119884;588,75;03/12/2025;26/02/2026;25;4,38;0,77;4,53;1,79;30,0;1,32;0,59;=G4*(L4/100)*(O4/100);=G4*(K4/360/100)*J4*(O4/100);=P4-R4+Q4-S4
Plata;Verde;07/01/2026;A12373125;Tejas Competitivos S.A.;1313600;857,6;23/12/2025;15/03/2026;55;2,24;1,94;16,64;2,93;60,0;10,18;1,61;=G5*(L5/100)*(O5/100);=G5*(K5/360/100)*J5*(O5/100);=P5-R5+Q5-S5
Plata;Verde;07/01/2026;A82223757;Compostajes Criogénicos S.A.;4889893;8444,05;16/12/2025;21/02/2026;69;1,64;0,54;45,6;26,54;70,0;31,95;18,44;=G6*(L6/100)*(O6/100);=G6*(K6/360/100)*J6*(O6/100);=P6-R6+Q6-S6
Plata;Verde;07/01/2026;A82223757;Compostajes Criogénicos S.A.;3329281;9165,67;05/12/2025;27/03/2026;70;4,27;1,92;175,98;76,1;30,0;53,09;23,09;=G7*(L7/100)*(O7/100);=G7*(K7/360/100)*J7*(O7/100);=P7-R7+Q7-S7
Plata;Verde;07/01/2026;A82223757;Compostajes Criogénicos S.A.;1392576;806,9;26/12/2025;21/02/2026;32;4,68;1,05;8,47;3,36;60,0;5,03;2,23;=G8*(L8/100)*(O8/100);=G8*(K8/360/100)*J8*(O8/100);=P8-R8+Q8-S8
Plata;Verde;07/01/2026;A82223757;Compostajes Criogénicos S.A.;4219134;4719,88;12/12/2025;17/03/2026;20;3,49;1,45;68,44;9,15;40,0;27,2;3,42;=G9*(L9/100)*(O9/100);=G9*(K9/360/100)*J9*(O9/100);=P9-R9+Q9-S9
Plata;Verde;07/01/2026;A34113981;Termoplásticos Pirenaicos S.A.;2688027;919,2;03/12/2025;23/01/2026;48;1,74;1,55;14,25;2,13;50,0;6,95;1,04;=G10*(L10/100)*(O10/100);=G10*(K10/360/100)*J10*(O10/100);=P10-R10+Q10-S10
Plata;Verde;07/01/2026;A34113981;Termoplásticos Pirenaicos S.A.;4287432;931,95;19/12/2025;02/01/2026;38;2,86;1,13;10,53;2,81;50,0;5,07;1,49;=G11*(L11/100)*(O11/100);=G11*(K11/360/100)*J11*(O11/100);=P11-R11+Q11-S11
Plata;Verde;07/01/2026;A34113981;Termoplásticos Pirenaicos S.A.;4781442;243,79;13/12/2025;26/03/2026;18;4,53;0,68;1,66;0,55;70,0;1,15;0,59;=G12*(L12/100)*(O12/100);=G12*(K12/360/100)*J12*(O12/100);=P12-R12+Q12-S12
Plata;Verde;07/01/2026;B42360172;Bioestimulantes Líderes S.L.;2483141;941,1;05/12/2025;05/01/2026;47;3,0;1,0;9,41;3,69;50,0;4,77;1,99;=G13*(L13/100)*(O13/100);=G13*(K13/360/100)*J13*(O13/100);=P13-R13+Q13-S13
Plata;Verde;07/01/2026;B42360172;Bioestimulantes Líderes S.L.;1997408;803,17;19/12/2025;04/01/2026;45;1,79;2,15;17,27;1,8;50,0;8,89;0,77;=G14*(L14/100)*(O14/100);=G14*(K14/360/100)*J14*(O14/100);=P14-R14+Q14-S14
Plata;Verde;07/01/2026;B42360172;Bioestimulantes Líderes S.L.;4939559;160,38;26/12/2025;24/02/2026;45;3,88;1,67;2,68;0,78;40,0;0,8;0,19;=G15*(L15/100)*(O15/100);=G15*(K15/360/100)*J15*(O15/100);=P15-R15+Q15-S15
Plata;Verde;07/01/2026;B73728164;Transistores Certificados S.L.;2307252;762,03;27/12/2025;14/03/2026;65;3,03;0,81;6,17;4,17;50,0;3,02;2,22;=G16*(L16/100)*(O16/100);=G16*(K16/360/100)*J16*(O16/100);=P16-R16+Q16-S16
Plata;Verde;07/01/2026;B73728164;Transistores Certificados S.L.;4423431;8300,02;28/12/2025;28/01/2026;63;3,4;2,16;179,28;49,39;60,0;107,4;29,57;=G17*(L17/100)*(O17/100);=G17*(K17/360/100)*J17*(O17/100);=P17-R17+Q17-S17
Plata;Verde;07/01/2026;B73728164;Transistores Certificados S.L.;4795732;269,67;03/12/2025;16/03/2026;69;4,16;2,35;6,34;2,15;70,0;4,38;1,76;=G18*(L18/100)*(O18/100);=G18*(K18/360/100)*J18*(O18/100);=P18-R18+Q18-S18
Plata;Verde;07/01/2026;B73728164;Transistores Certificados S.L.;1187103;748,32;07/12/2025;19/03/2026;70;2,12;2,38;17,81;3,08;60,0;10,89;1,73;=G19*(L19/100)*(O19/100);=G19*(K19/360/100)*J19*(O19/100);=P19-R19+Q19-S19
Plata;Verde;07/01/2026;A54220732;Condensadores Destacados S.A.;1150289;365,77;07/12/2025;25/03/2026;55;4,08;1,54;5,63;2,28;60,0;3,17;1,12;=G20*(L20/100)*(O20/100);=G20*(K20/360/100)*J20*(O20/100);=P20-R20+Q20-S20
Plata;Verde;07/01/2026;A54220732;Condensadores Destacados S.A.;1178494;8068,76;18/12/2025;19/01/2026;54;4,9;1,76;142,01;59,31;50,0;70,98;29,73;=G21*(L21/100)*(O21/100);=G21*(K21/360/100)*J21*(O21/100);=P21-R21+Q21-S21
Plata;Verde;07/01/2026;A10220438;Tubulares Iridiscentes S.A.;1730667;842,2;25/12/2025;12/01/2026;33;3,1;2,26;19,03;2,39;60,0;11,34;1,2;=G22*(L22/100)*(O22/100);=G22*(K22/360/100)*J22*(O22/100);=P22-R22+Q22-S22
Plata;Verde;07/01/2026;A10220438;Tubulares Iridiscentes S.A.;3896491;227,92;25/12/2025;19/01/2026;37;4,15;0,93;2,12;0,97;70,0;1,35;0,77;=G23*(L23/100)*(O23/100);=G23*(K23/360/100)*J23*(O23/100);=P23-R23+Q23-S23
Plata;Verde;07/01/2026;A10220438;Tubulares Iridiscentes S.A.;1907647;433,9;10/12/2025;27/02/2026;57;3,97;1,98;8,59;2,73;40,0;3,52;1,33;=G24*(L24/100)*(O24/100);=G24*(K24/360/100)*J24*(O24/100);=P24-R24+Q24-S24
Plata;Verde;07/01/2026;A71708856;Fondeos Cualificados S.A.;4746742;334,17;24/12/2025;08/03/2026;34;3,64;1,63;5,45;1,15;60,0;3,13;0,52;=G25*(L25/100)*(O25/100);=G25*(K25/360/100)*J25*(O25/100);=P25-R25+Q25-S25
Plata;Verde;07/01/2026;A71708856;Fondeos Cualificados S.A.;4822412;637,25;13/12/2025;12/01/2026;31;2,67;2,45;15,61;1,47;70,0;10,77;1,24;=G26*(L26/100)*(O26/100);=G26*(K26/360/100)*J26*(O26/100);=P26-R26+Q26-S26
Plata;Verde;07/01/2026;B08608147;Almidones Antivandálicos S.L.;4420086;398,3;20/12/2025;08/03/2026;41;3,1;1,83;7,29;1,41;50,0;3,5;0,55;=G27*(L27/100)*(O27/100);=G27*(K27/360/100)*J27*(O27/100);=P27-R27+Q27-S27
Plata;Verde;07/01/2026;B08608147;Almidones Antivandálicos S.L.;3409766;1139,91;01/12/2025;28/02/2026;63;2,31;1,7;19,38;4,61;40,0;7,96;2,08;=G28*(L28/100)*(O28/100);=G28*(K28/360/100)*J28*(O28/100);=P28-R28+Q28-S28
Plata;Verde;07/01/2026;A08053188;Equipos Regulares S.A.;2065939;147,16;13/12/2025;27/01/2026;40;2,51;1,18;1,74;0,41;60,0;1,01;0,23;=G29*(L29/100)*(O29/100);=G29*(K29/360/100)*J29*(O29/100);=P29-R29+Q29-S29
Plata;Verde;07/01/2026;A08053188;Equipos Regulares S.A.;3553146;594,72;21/12/2025;15/03/2026;22;2,71;1,84;10,94;0,98;70,0;7,37;0,57;=G30*(L30/100)*(O30/100);=G30*(K30/360/100)*J30*(O30/100);=P30-R30+Q30-S30
Plata;Verde;07/01/2026;A81058085;Cárnicos Probados S.A.;4074669;568,89;02/12/2025;24/02/2026;67;3,81;1,02;5,8;4,03;60,0;3,51;2,61;=G31*(L31/100)*(O31/100);=G31*(K31/360/100)*J31*(O31/100);=P31-R31+Q31-S31
Plata;Verde;07/01/2026;A81058085;Cárnicos Probados S.A.;2931738;894,29;22/12/2025;25/03/2026;34;2,44;2,45;21,91;2,06;50,0;10,85;1,26;=G32*(L32/100)*(O32/100);=G32*(K32/360/100)*J32*(O32/100);=P32-R32+Q32-S32
Plata;Verde;07/01/2026;A81058085;Cárnicos Probados S.A.;1677747;970,03;28/12/2025;16/01/2026;17;1,6;0,81;7,86;0,73;60,0;4,69;0,22;=G33*(L33/100)*(O33/100);=G33*(K33/360/100)*J33*(O33/100);=P33-R33+Q33-S33
